order,name,altName,cer,lat,lon,writ,type,countr,ha,bibl
1074,Abaindi,Abaindi,–,–,–,"URU.a-ba-in-di, 𒌷𒀀𒁀𒅔𒁲",fortified city,"Aiadi, Iran",–,"Bagg RGTC 7 3/1: 1–2, Parpola Toponyms: 1, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Abaindi)</a>"
2,Abani,Abani,–,–,–,"ÍD.a-ba-ni, 𒀀𒇉𒀀𒁀𒉌",river,"Elam, Rāši, Iran",–,"Parpola Toponyms: 1, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Abani</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-waters/onebigfile.html' target='_blank'>ATAE Glossary: Watercourses (Abani [1])</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-waters/onebigfile.html' target='_blank'>SAAo Glossary: Watercourses (Abani [1])</a>"
3,Abarnani,"Abarnani, Abarnānu, Sultan Tepe (?)",–,–,–,"URU.a-bar-na-ni, 𒌷𒀀𒁇𒈾𒉌",fortified city,"Quwê, Turkey",–,"Bagg RGTC 7 1: 1, Parpola Toponyms: 1, <a href='https://pleiades.stoa.org/places/726944832' target='_blank'>Pleiades: Abarnani</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Abarnanu)</a>"
6,Abattê,"Abattê, Abatte",–,–,–,"URU.a-bat-te-e, 𒌷𒀀𒁁𒋼𒂊",town,"Central Assyria (?), Iraq (?)",–,"Bagg RGTC 7 2/1: 2–3, Parpola Toponyms: 1 (Abat-...), <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Abatte)</a>"
7,Abbissa,"Abbissa, Abbissâ, Apheisôn, Apheison, Pheisôn, Pheison, Fis",3,38.365263,40.547443,"URU.ab-bi-is-sa, 𒌷𒀊𒁉𒄑𒊓, URU.ab-bi-sa-a, 𒌷𒀊𒁉𒊓𒀀",town,"Naʾiri, Turkey",3 D2,"Bagg RGTC 7 2/1: 3, Helsinki Atlas: 5 (map 3 D2), Parpola Toponyms: 2, <a href='https://pleiades.stoa.org/places/874646' target='_blank'>Pleiades: Pheison</a>, <a href='https://www.geonames.org/314907/fis.html' target='_blank'>Geonames: Fis</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Abbissa [1])</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Abbissa [1])</a>"
1075,Abdana,Abdana,–,–,–,"URU.ab-da-na-a-a, 𒌷𒀊𒁕𒈾𒀀𒀀",country,"Naʾiri, Iran",–,Bagg RGTC 7 3/1: 2 (*Abdana)
8,Abdudu,Abdudu,–,–,–,"URU.ab-du-di, 𒌷𒀊𒁺𒁲, URU.ab-du-da-a-a, 𒌷𒀊𒁺𒁕𒀀𒀀",city,"Assyria, Laḫīru",–,"Bagg RGTC 7 2/1: 3, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Abdudu</a>"
1076,Abdīnu,"Abdīnu, Abdinu, Apdīnu, Apdinu",–,–,–,"URU.ap-di-nu, 𒌷𒀊𒁲𒉡",fortress,"Rāši, Iran",–,Bagg RGTC 7 3/1: 2
9,Abil-šiṭṭi,"Abil-šiṭṭi, Abilakka, Abil..., Abel ha-Šiṭṭim, Tell al-Kafrain (?), Tall al-Kafrain (?), Al Kafrayn (?), الكفرين (?), Tall al-Ḥammām (?), Tell el-Hammam (?)",2,31.83955, 35.67318,"URU.a-bi-il-x-x, 𒌷𒀀𒁉𒅋-x-x, URU.a-bi-il-šiṭ-ṭi, 𒌷𒀀𒁉𒅋𒋃𒁲",city,"Bīt-Ḫazaʾil, Jordan",7 D5,"Bagg RGTC 7 1: 1 (Abil...), Helsinki Atlas: 5 (map 7 D5), <a href='https://www.geonames.org/250627/al-kafrayn.html' target='_blank'>Geonames: Al Kafrayn</a>, <a href='https://www.geonames.org/248731/tall-al-kafrayn.html' target='_blank'>Geonames: Tall al Kafrayn</a>, <a href='https://www.geonames.org/249273/tall-al-hammam.html' target='_blank'>Geonames: Tall al Ḩammām</a>"
10,Abilāte,"Abilāte, Abilate",–,–,–,"URU.a-bi-la-te, 𒌷𒀀𒁉𒆷𒋼",town,Izalla,–,"Bagg RGTC 7 2/1: 4, Parpola Toponyms: 2, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places</a> (Abilate), <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places</a> (Abilate)"
1077,Abirus,Abirus,–,–,–,"KUR.a-bi-ru-us, 𒆳𒀀𒁉𒊒𒊻 ",mountains,"Bīt-Kapsi, Iran",–,Bagg RGTC 7 3/1: 2–3
1078,Abitikna,Abitikna,–,–,–,"URU.a-bi-ti-ik-na, 𒌷𒀀𒁉𒋾𒅅𒈾, LÚ.URU.a-bi-ti-ik-na-a-a, 𒇽𒌷𒀀𒁉𒋾𒅅𒈾𒀀𒀀 ",city,"Mannāja, Iran",–,Bagg RGTC 7 3/1: 3
1079,Abnana,Abnana,–,–,–,"URU.ab-na-na, 𒌷𒀊𒈾𒈾",city,(?),–,Bagg RGTC 7 3/1: 3
1080,Abrau,Abrau,–,–,–,"KUR.ab-ra-ú(-x), 𒆳𒀊𒊏𒌑(-x)","land (?), mountain (?)","Mādāja, Ḫarḫār (?), Iran",–,Bagg RGTC 7 3/2: 3–4 
1081,Absaḫutti,Absaḫutti,–,–,–,"KUR.ab-sa-ḫu-at-ti, 𒆳𒀊𒊓𒄷𒀜𒋾","land (?), mountain (?)","Mādāja, Iran",–,Bagg RGTC 7 3/1: 4
1082,Abuqu,Abuqu,–,–,–,"URU.a-bu-qu, 𒌷𒀀𒁍𒄣",town,"Nimme, Iraq",–,"Bagg RGTC 7 3/1: 4, Parpola Toponyms: 3, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Abuqu)</a>"
1,Abāja,"Abāja, Abaya, Abâ, Aba",–,–,–,"URU.a-ba-a, 𒌷𒀀𒁀𒀀, URU.a-ba-a.a, 𒌷𒀀𒁀𒀀𒀀",town,"Tušḫan province, Turkey, Kurdistan",–,"Bagg RGTC 7 3/2: 955 (Abāja; Add. to RGTC 7/2), <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Aba</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Abaya)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Abaya)</a>"
4,Abāt-Aššur-lā-tēni,"Abat-Aššur-lā-tenni, Abāt-Aššur-lā-tēni",–,–,–,"URU.a-bat-aš-šur-la-te-ni, 𒌷𒀀𒁁𒀸𒋩𒆷𒋼𒉌",city,Šubria,–,"Bagg RGTC 7 2/1: 2, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Abat-Aššur-la-tenni)</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Abat-Aššur-la-tenni)</a>"
5,Abāt-šarri-lā-tēni,"Abāt-šarri-lā-tēni, Abat-šarri-lā-tenni",–,–,–,"URU.a-bar-MAN-la-te-ni, 𒌷𒀀𒁁𒌋𒌋𒆷𒋼𒉌",city,Šubria,–,"Bagg RGTC 7 2/1: 2, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Abat-šarri-la-tenni)</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Abat-šarri-la-tenni)</a>"
1083,Abūrê,"Abūrê, Aburê",–,–,–,"URU.a-bu-re-e, 𒌷𒀀𒁍𒊑𒂊",city,"Puqūdu, Gambūlu, Babylonia, Iraq",–,Bagg RGTC 7 3/1: 4–5
12,Adab,"Adab, Bismāyā, Bismaya, بسمايا, Bismāyah, Bismayah, بسماية, بسمايه",1,31.95070965093329,45.62386036197451,"UD.NUN.KI, ADAB.KI, 𒌓𒉣𒆠, a-da-ab, 𒀀𒁕𒀊",city,"Babylonia, Iraq",–,"<a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Adab (Bismaya)</a>, <a href='https://zenodo.org/record/5217600' target='_blank'>CIGS: Adab/Bismāyā</a>, <a href='https://pleiades.stoa.org/places/787747618' target='_blank'>Pleiades: Adab</a>, <a href='https://www.geonames.org/6755794/bismayah.html' target='_blank'>Geonames: Bismāyah</a>"
1057,Adamdun,"Adamdun, Sostrate, Sōstrate, Tostar, Tustar, Šōstar, Šūštar, Shūstar, Shūshtar, Shushtar, شوشتر, Teppe Surkhehgan (?)",4,32.045,48.859444,–,city,"Elam, Iran",–,"<a href=https://pleiades.stoa.org/places/912941>Pleiades: Sostrate/Shushtar</a>, <a href='https://www.geonames.org/114584/shushtar.html' target='_blank'>Geonames: Shūshtar</a>, <a href=https://zenodo.org/record/6384045>Pedersén, ANE: Adamdun? (Teppe Surkhehgan)</a>"
1309,Adariḫiti,"Adariḫiti, Adarihiti",–,–,–,"URU.a-da-ri-ḫi-ti, 𒌷𒀀𒁕𒊑𒄭𒋾",town,"Babylonia, Puqūdu, Gambūlu, Zāmê, Iraq",–,"Parpola Toponyms: 3, Zadok RGTC 8: 2, SAA 21 110: 8, <a href='https://publikationen.badw.de/de/rla/index' target='_blank'>Ebeling RlA 1: 3</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Adarihiti [1])</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Adarihiti [1])</a>"
13,Addauš,"Addauš, Adauš, Ḥabb as-Sulṭān Dāġ, Jabal Haybat Sulţān, Hab-es-Sultān Dāgh, جبل هيبت سلطان",–,36.09709,44.67702,"URU.ad-da-uš, 𒌷𒀜𒁕𒍑, KUR.a-da-uš, 𒆳𒀀𒁕𒍑",territory,"Ḫabrūri (?), Iraq",–,"Bagg RGTC 7 3/1: 5, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Adauš)</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Addauš)</a>"
1084,Adduri,"Adduri, Adduru",–,–,–,"KUR.ad-du-ri, 𒆳𒀜𒁺𒊑",mountains,"Urarṭu, Turkey",–,Bagg RGTC 7 3/1: 5
15,Adia,"Adia, Adiu, Adum, Mosul, Ḫirbat Qara Qounly (?), Khirbet Qara Quwiynili (?), Šēḫ ʿĀdī (?), Shaykh Adī (?)",4,36.22559,43.22649,"URU.a-di-a, 𒌷𒀀𒁲𒀀",town,"Assyria, Iraq",4 C5,"Helsinki Atlas: 5 (map 4 C5), ABL, 683, ONC G4, Bagg RGTC 7 2/1: 6–7, <a href='https://books.openedition.org/cdf/4715#tocfrom2n18' target='_blank'>MTT I/1: Adum</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Adia)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Adia)</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Adia)</a>, <a href='http://oracc.museum.upenn.edu/saao/knpp/peoplegodsplaces/index.html' target='_blank'>Knowledge and Power: Adian/Adia</a>, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Adian/Adia</a>"
16,Adian,"Adian, Adin, Dohuk (?), Daḫūk (?), Dihok (?), دهۆك, دهوك, Eski Kalak, Askī Kalak, ئاسكى كلك, ئاسكى كەلەك, Nāḩiyat Kalak, ناحية كلك, Khabat",4,36.86709,42.98845,"URU.EN-an, 𒌷𒂗𒀭, URU.a-di-an, 𒌷𒀀𒁲𒀭, URU.a-di-in, 𒌷𒀀𒁲𒅔",town,"Assyria, Iraq",4 C5,"Helsinki Atlas: 5 (map 4 C5), Bagg RGTC 7 2/1: 7–8, <a href='https://www.geonames.org/442267/nahiyat-kalak.html' target='_blank'>Geonames: Nāḩiyat Kalak (Askī Kalak)</a>, <a href='https://www.geonames.org/96994/dihok.html' target='_blank'>Geonames: Dihok</a>, <a href='http://oracc.museum.upenn.edu/saao/knpp/peoplegodsplaces/index.html' target='_blank'>Knowledge and Power: Adian</a>, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Adian</a>, <a href='http://oracc.museum.upenn.edu/saao/knpp/peoplegodsplaces/index.html' target='_blank'>Knowledge and Power: Adia</a>, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Adia</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Adian)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Adian)</a>"
1085,Adilê,Adilê,–,–,–,"LÚ.a-di-le-e, 𒇽𒀀𒁲𒇷𒂊",tribe,"Babylonia, Iraq",–,Bagg RGTC 7 3/1: 6
17,Adinni,Adinni,–,–,–,"URU.a-di-ni, 𒌷𒀀𒁲𒉌, URU.a-di-in-ni, 𒌷𒀀𒁲𒅔𒉌",city,"Babylonia, Iraq",–,"Bagg RGTC 7 3/1: 6, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Adinni</a>"
18,Admannu,"Natmane, Admannu, Atmannu, Tell 'Ali, Tell ʾAli, Tall ʿAlī, Tall 'Ali, تل علي",3,35.38188935822732,43.68246612471816,–,town,Iraq,–,"Anastasio et al. 2004: 45 (Tall ʿAlī), <a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Admannu / Natmane (Tell 'Ali)</a>, <a href='https://zenodo.org/record/5217600' target='_blank'>CIGS: Admannu</a>, <a href='https://pleiades.stoa.org/places/532748466' target='_blank'>Pleiades: Tell 'Ali</a>, <a href='https://www.geonames.org/6770327/tall-ali.html' target='_blank'>Geonames: Tall ‘Alī</a>"
1086,Aduma,Aduma,–,–,–,"URU.a-du-ma, 𒌷𒀀𒁺𒈠",town,–,–,Bagg RGTC 7 3/1: 6
20,Adummatu,"Adummatu, Adumatu, Adumutu, Dumetu, Dumeti, Duma, Dumatha, Doumiatha, Dūmat al-Ğandal, Dumat el-Jandal, al-Ǧauf, al-Jawf, الجوف, دومة الجندل, דוּמָה",1,29.81144,39.86716,"URU.a-du-ma-tu, 𒌷𒀀𒁺𒈠𒌅, URU.a-du-mu-tu, 𒌷𒀀𒁺𒈬𒌅, URU.a-du-um-ma-te, 𒌷𒀀𒁺𒌝𒈠𒋼, URU.a-du-um-ma-tu, 𒌷𒀀𒁺𒌝𒈠𒌅, URU.du-ma, 𒌷𒁺𒈠, URU.du-me-ti, 𒌷𒁺𒈨𒋾","town, city, fortress","Arabs, Arabian Peninsula, Saudi Arabia",15 D4,"Bagg RGTC 7 2/1: 8–9, Helsinki Atlas: 5 (map 15 D4), <a href='https://pleiades.stoa.org/places/29548' target='_blank'>Pleiades: Dumatha</a>, <a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Adumatu? (Dumat el-Jandal)</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Adummatu)</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Adummatu)</a>"
19,Adumānu,"Adumānu, Adumanu",–,–,–,"URU.a-du-ma-nu, 𒌷𒀀𒁺𒈠𒉡",town,"Babylonia, Ḫalēḫasta, Iran (?)",–,"Bagg RGTC 7 2/1: 8, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Adumanu)</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Adumanu)</a>"
11,Adâ (city),"Adâ, Ada, Tall ʿAdā (?), Theleda (?), ʿAin at-Tall (?), Tall Hatab (?)",–,35.81818,36.33017,"URU.a-da-a, 𒌷𒀀𒁕𒀀",city,"Ḫamāt, Syria",–,"Bagg RGTC 7 1: 2, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Ada)</a>"
14,Adî,Adî,–,–,–,"URU.a-di-i, 𒌷𒀀𒁲𒄿",town,"Central Assyria (?), Iraq",–,"Bagg RGTC 7 2/1: 6, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Adi)</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Adia)</a>"
1087,Agazi,Agazi,–,–,–,"KUR.a-ga-zi, 𒆳𒀀𒂵𒍣",territory,"Mādāja, Iran",–,Bagg RGTC 7 3/1: 7
25,Aiadi,"Aiadi, Ajadi, Aiādi, Ayādi, Ayadi, Ayaid, Aiaid, Ajaidi, Orūmīye Plain, Plain of Urmīya",3,–,–,"KUR.a-ia-di, 𒆳𒀀𒅀𒁲, KUR.a-ia-id, 𒆳𒀀𒅀𒀉","territory, district","Urarṭu, Iran, West Azerbaijan",4 D4,"Bagg RGTC 7 3/1: 10, Helsinki Atlas: 5 (Ajaidi; map 4 D4), Parpola Toponyms: 6 (Aiaid), Parpola Toponyms: 7 (Ajadi), <a href=https://www.geonames.org/121801/orumiyeh.html>Geonames: Orūmīyeh</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Ayadi [1])</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Ayadi [1])</a>"
1091,Aiaṣun,"Aiaṣun, Ajaṣun",–,–,–,"URU.a-ia-ṣu-un, 𒌷𒀀𒅀𒍮𒌦",fortified city,"Urarṭu, Aiadi, Iran",–,"Bagg RGTC 7 3/1: 10–11, <a href='https://www.geonames.org/121801/orumiyeh.html' target='_blank'>Geonames: Orūmīyeh</a>"
23,Aila,"Aila, Aelana, Elath, Ẹlat, Eilat, אילת, אֵילַת, Berenike, Ēla, Īla, آيلة, Aqabat Aylah, Aqaba, עקבה, عقبه, 'Aqaba, al-ʿAqaba, العقبة",–,29.53069690938105,34.99985375390145,–,city,Jordan,–,"1 Kings 9:26, 2 Chronicles 8:17, <a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Aila ('Aqaba)</a>, <a href='https://pleiades.stoa.org/places/746700' target='_blank'>Pleiades: Aelana/Aila</a>, <a href='https://www.geonames.org/11191543/mawqi-ila-al-athari.html' target='_blank'>Geonames: Mawqi‘ Īlā al Atharī</a>, <a href='https://www.geonames.org/250774/aqaba.html' target='_blank'>Geonames: Aqaba</a>"
24,Aira,Aira,–,–,–,"URU.a-i-ra, 𒌷𒀀𒄿𒊏",town,Turkey,–,"Bagg RGTC 7 2/1: 12, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Aira</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Aira)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Aira)</a>"
1092,Aja-Sammu,"Aja-Sammu, Aia-Sammu, Aya-Sammu, Aiasamu, Ajasamu",–,–,–,"URU.a-a-sa-mu, 𒌷𒀀𒀀𒊓𒈬",fortified city,"Gambūlu, Babylonia, Iraq",–,Bagg RGTC 7 3/1: 11–12
1093,Ajalaja,"Ajalaja, Ayyalaya, Ayalaya",–,–,–,"KUR.a-a-la-a-a, 𒆳𒀀𒀀𒆷𒀀𒀀, KUR.a-a-la-ia, 𒆳𒀀𒀀𒆷𒅀",country,"Ṣibar (?), Iran",–,Bagg RGTC 7 3/1: 11
1094,Ajalê,"Ajalê, Aialê, Ayalê, Ayale, Ajjalê, Alê",–,–,–,"URU.a-a-le-e, 𒌷𒀀𒀀𒇷𒂊","city, fortified city","Urarṭu, Armarijalî, Iran, West Azerbaijan",–,"Bagg RGTC 7 3/1: 11, Parpola Toponyms: 7, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Ayale [1])</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Ayale [1])</a>"
1095,Ajubak,"Ajubak, Ayubak",–,–,–,"URU.a-a-ú-ba-ak, 𒌷𒀀𒀀𒌑𒁀𒀝",city,"Namri (?), Iran",–,Bagg RGTC 7 3/1: 12
1125,Akhetaton,"Akhetaton, Akhetaten, Tell el-Amarna, el-Amarna, Amarna, El-'Amarna, العمارنة",–,27.65033375722349,30.90067512792203,–,city,Egypt,–,<a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Akhetaten (El-'Amarna)</a>
27,Akkad,"Akkad, Agade, Tell Muhammad (?), Tell Muhammed (?), Tall Muḥammad (?), تل محمد, al-Qādisīya (?), Išān Mizyad (??)",4,33.3009,44.4682,"a-kà-dè.KI, 𒀀𒂵𒉈𒆠, A.GA.DÈ.KI, 𒀀𒂵𒉈𒆠, ak-ka-de-e, 𒀝𒅗𒁲𒂊, ak-ka-di-i, 𒀝𒅗𒁲𒄿, a-kà-dì-i, 𒀀𒂵𒋾𒄿, a-ka-di, 𒀀𒅗𒁲, a-kad.KI, 𒀀𒃰𒆠, URU.ak-ka-di, 𒌷𒀝𒅗𒁲, URU.ak-kad, 𒌷𒀝𒃰, URU.ak-kad-u-a, 𒌷𒀝𒃰𒌋𒀀, URU.URI, 𒌷𒌵, URI, 𒌵, URI.KI, 𒌵𒆠, URI.KI-i, 𒌵𒆠𒄿, URI.KI-bi, 𒌵𒆠𒁉, URI.KI-ke₄, 𒌵𒆠𒆤, KUR.ak-ka-di-i, 𒆳𒀝𒅗𒁲𒄿, KUR-ak-ka-de-e, 𒆳𒀝𒅗𒁲𒂊, KUR.URI, 𒆳𒌵, KUR.URI-MEŠ, 𒆳𒌵𒈨𒌍, KUR.URI.KI, 𒆳𒌵𒆠, LÚ.URI.KI-MEŠ, 𒇽𒌵𒆠𒈨𒌍, LÚ.ak-ka-du-ú, 𒇽𒀝𒅗𒁺𒌑, LÚ.ak-kad-u-a, 𒇽𒀝𒃰𒌋𒀀, LÚ.URU.ak-kad-u-a, 𒇽𒌷𒀝𒃰𒌋𒀀",city,"Babylonia, Akkad, Iraq",10 D3,"Helsinki Atlas: 5 (map 10 D3), Bagg RGTC 7 3/1: 13–14, <a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: (Tell Muhammed)</a>, <a href='https://zenodo.org/record/5217600' target='_blank'>CIGS: Tall Muḥamad</a>, <a href='https://pleiades.stoa.org/places/360094475' target='_blank'>Pleiades: Akkad Survey Area</a>, <a href='https://pleiades.stoa.org/places/63806066' target='_blank'>Geonames: Agade</a>, <a href='http://oracc.museum.upenn.edu/saao/knpp/peoplegodsplaces/index.html' target='_blank'>Knowledge and Power: Akkad</a>, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Akkad</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Agade)</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Agade)</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Akkad)</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Akkad)</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Akkad)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Akkad)</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Akkad)</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Akkadu)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Akkadu)</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-ethnic/onebigfile.html' target='_blank'>RIAo Glossary: Ethnic (Akkadu [AKKADIAN])</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-ethnic/onebigfile.html' target='_blank'>SAAo Glossary: Ethnic (Akkadu [AKKADIAN])</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-ethnic/onebigfile.html' target='_blank'>SAAo Glossary: Ethnic (Akkaduʾa [INHABITANT OF AKKAD])</a>"
29,Akkuddu,"Akkuddu, Īlām (?), اِلام, ایلام, Surkh Dum Lurī (?), سرخ دم لـري, Surḫ Dum (?), Surḫ Dom (?), Dom Sorkh Lakī (?), دُم سُرخ لَكی, Sorkh Dom Lakī (?), سرخ دم لکي",4,33.5065,47.7079,"URU.ak-ku-du, 𒌷𒀝𒆪𒁺, URU.ak-ku-ud-du, 𒌷𒀝𒆪𒌓𒁺, URU.ak-ku-du-ma, 𒌷𒀝𒆪𒁺𒈠","capital, city","Ellipi, Iran",11 C3,"Helsinki Atlas: 5 (map 11 C3), Bagg RGTC 7 3/1: 14–15, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Akkuddu</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Akkuddu)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Akkuddu)</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Akkuddu)</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Akkuddu)</a>"
