order,name,altName,cer,lat,lon,writ,type,countr,ha,bibl
681,Minūʾ,"Minūʾ, Minuʾ, Munūʾ, Munuʾ",–,–,–,"URU.mi-nu-uʾ, 𒌷𒈪𒉡𒀪, URU.mu-nu-uʾ, 𒌷𒈬𒉡𒀪",town,"Babylonia, Iraq",–,"Bagg RGTC 7 3/1: 412, Parpola Toponyms: 248 (Minuʾ), <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Minuʾ</a>, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Munuʾ</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Minuʾ)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Minuʾ)</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Munuʾ)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Munuʾ)</a>"
682,Missi,Missi,2,–,–,–,territory,–,11 C1,Helsinki Atlas: 13 (map 11 C1)
1117,Mouth of the Wadi Tharthar,"mouth of the Wadi Tharthar, piāte ša Tartāra",4,34.237918,43.117905,"pi-a-te ša ÍD.tar-ta-ra, 𒉿𒀀𒋼 𒊭 𒀀𒇉𒋻𒋫𒊏, pi-a-te šá ÍD.tar-ta-ra, 𒉿𒀀𒋼 𒃻 𒀀𒇉𒋻𒋫𒊏",part of river,"Assyria, Iraq",–,"Tukulti-Ninurta II 05, ll. 46–47"
683,Mubî,"Mubî, Mubi, Mūbu, Mubu",–,–,–,"URU.mu-bi-a-a, 𒌷𒈬𒁉𒀀𒀀, LÚ.mu-bi-a-a, 𒇽𒈬𒁉𒀀𒀀",town,"Assyria, Iraq",–,"Bagg RGTC 7 2/2: 430, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Ethnic (Mubiaya [FROM MUBU])</a>"
684,Mugdan,"Mugdan, Mukdan, Umm el-Jir K97 (?), Umm al-Jir (?), Umm al-Jīr (?), أم الجير",4,32.64979821251404,44.8501833826793,–,city,"Babylonia, Iraq",–,"<a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Mugdan? (Umm el-Jir K97)</a>, <a href='https://zenodo.org/record/5217600' target='_blank'>CIGS: Mukdan (Umm al-Jīr)</a>"
686,Mulu...,Mulu...,–,–,–,–,"city, town",Assyria,–,–
685,Mulî,"Mulî, Muli, Mulû, Muti (?), Bolkar Dağları, Bolgar Dağlari, Bozoğlan, Bulgar Dağlari",2,37.248,34.3643,"KUR.mu-li-i, 𒆳𒈬𒇷𒄿",mountain,"Tabāl, Turkey",1 D3,"Bagg RGTC 7 1: 176, Helsinki Atlas: 13 (map 1 D3), Parpola Toponyms: 248–249, <a href='https://www.geonames.org/320904/bolkar-daglari.html' target='_blank'>Geonames: Bolkar Dağları</a>, <a href='https://www.geonames.org/10631915/bolkar-daglari.html' target='_blank'>Geonames: Bolkar Dağları</a>, <a href='https://pleiades.stoa.org/places/890432544' target='_blank'>Pleiades: Bolkar Dağları</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Muli [Mount Muli])</a>"
1159,Mulūgani,"Mulūgani, Mulugani",–,–,–,"URU.mu-lu-ú-ga-ni, 𒌷𒈬𒇻𒌑𒂵𒉌",city,"Māzamua (?), Iraq (?), Iran (?)",–,"Bagg RGTC 7 3/1: 414, Parpola Toponyms: 249, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Mulugani)</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Mulugani)</a>"
1138,Muski,"Muski, Musku, Muški, Mušku",–,–,–,"KUR.mu-us-ki, 𒆳𒈬𒊻𒆠, KUR.mu-uš-ki, 𒆳𒈬𒍑𒆠, KUR.muš-ki, 𒆳𒈲𒆠, KUR.muš-ka-a-ia.MEŠ, 𒆳𒈲𒅗𒀀𒅀𒈨𒌍, KUR.muš-ki.MEŠ, 𒆳𒈲𒆠𒈨𒌍","territory, country",Turkey,–,"Bagg RGTC 7 2/2: 432 (Musku 2), Parpola Toponyms: 252–253 (together with Bagg's Musku 1), <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Musku)</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-ethnic/onebigfile.html' target='_blank'>RIAo Glossary: Ethnic (Mušku)</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Mušku)</a>"
690,Musru,"Musru, Muṣru, Muṣri, Ğabal Bāšiqā, Jabal Ba‘shīqah, Jabal Ba'shiqah, جبل بعشيقة, Chiya-i Be`shiqe, Chiya-î Be‘shîqe, چياى بەعشيقە, Shax-i Be`shiqe, Shax-î Be‘shîqe, شاخى بەعشيقە, Ğabal Maqlūb, Jabal Maqlūb, Jabal Maqlub, جبل مقلوب, Chiya-î Meqlub, Chiya-i Meqlub, چياى مەقلوب, Shax-î Meqlub, Shax-i Meqlub, شاخى مەقلوب",1,36.51297,43.35249,"mu-uṣ-ri, mu-us-ri, 𒈬𒊻𒊑, KUR.mu-uṣ-ri, KUR.mu-us-ri, 𒆳𒈬𒊻𒊑",mountain,"Assyria, Iraq",4 C5,"Bagg RGTC 7 2/2: 433 (Muṣri 2), Helsinki Atlas: 13 (Musru; map 4 C5), Parpola Toponyms: 249–250 (Musru), <a href='https://www.geonames.org/97862/jabal-ba-shiqah.html' target='_blank'>Geonames: Jabal Ba‘shīqah</a>, <a href='https://www.geonames.org/93672/jabal-maqlub.html' target='_blank'>Geonames: Jabal Maqlūb</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Muṣri [Mount Muṣri])</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Muṣri [Mount Muṣri])</a>"
