appended,state,order,title,altName,cer,lat,lon,writ,type,countr,ha,bibl
2025-07-19-(00-47-26),edited,1111,Tuʾmūna,"Tuʾmūna, Tuʾmuna, Tuʾmana, Tuʾumuna",–,–,–,"KUR.tu-uʾ-mu-na, 𒆳𒌅𒀪𒈬𒈾, LÚ.tu-uʾ-mu-na, 𒇽𒌅𒀪𒈬𒈾, LÚ.KUR.tu-uʾ-mu-na, 𒇽𒆳𒌅𒀪𒈬𒈾, LÚ.tu-uʾ-ma-na-a-a, 𒇽𒌅𒀪𒈠𒈾𒀀𒀀, LÚ.tu-uʾ-na-a-a, 𒇽𒌅𒀪𒈾𒀀𒀀, LÚ.KUR.tu-uʾ-mu-na-a-a, 𒇽𒆳𒌅𒀪𒈬𒈾𒀀𒀀","Aramean tribe, territory","Babylonia, Iraq",–,"Bagg RGTC 7 3/2: 570–571, Parpola Toponyms: 358 (Tuʾmuna)"
2025-07-19-(00-47-26),edited,1115,Ḫatḫariba,"Ḫatḫariba, Hathariba, Limmer-iššak-Aššur, Limmir-iššâk-Aššur, Limmir-iššak-Aššur, Līmmir-isšiak-Aššur, Athribis, Tall Aṯrīb, Tell Atrib, Banha, Banhā, بنها",–,30.47059278247387,31.18689067392604,"URU.ḫa-at-ḫa-ri-ba, 𒌷𒄩𒀜𒄩𒊑𒁀, URU.ḫa-at-ḫi-ri-bi, 𒌷𒄩𒀜𒄭𒊑𒁉, URU.li-mer-ÉNSI-aš-šur, 𒌷𒇷𒂇𒉺𒋼𒋛𒀸𒋩, ḥw.t-tꜣ-ḥrj-jb, ḥwt (tꜣ) ḥrj-jb, kmwj, km-wr",city,"Muṣur, Egypt",–,"Bagg RGTC 7 2/1: 221 (Ḫatḫariba), Bagg RGTC 7 2/1: 371 (Limmer-iššak-Aššur), Parpola Toponyms: 157 (Ḫatḫariba), Parpola Toponyms: 227 (Limmir-iššak-Aššur), <a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Athribis (Tell Atrib)</a>, <a href='https://pleiades.stoa.org/places/727078' target='_blank'>Pleiades: Athribis (Lower Egypt)</a>, <a href='https://www.geonames.org/9781579/athribis-tell-atrib-southeast-baths-greek-bath.html' target='_blank'>Geonames: Athribis/Tell Atrib</a>, <a href='https://www.geonames.org/359280/banha.html' target='_blank'>Geonames: Banhā</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Hathariba [ATHRIBIS])</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Limmer-iššak-Aššur)</a>"
2025-07-19-(00-47-26),edited,1116,Nabātu,"Nabātu, Nabâtu, Nabāta, Nabatu, Nabatean",–,–,–,"LÚ.na-ba-a-tu, 𒇽𒈾𒁀𒀀𒌅, LÚ.na-ba-tu, 𒇽𒈾𒁀𒌅, LÚ.na-ba-tú, 𒇽𒈾𒁀𒌓, LÚ.na-bat-a-a, 𒇽𒈾𒁁𒀀𒀀",Aramean tribe,"Babylonia, Iraq",–,"Bagg RGTC 7 3/1: 419–420, Parpola Toponyms: 254, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-ethnic/onebigfile.html' target='_blank'>SAAo Glossary: Ethnic (Nabataya)</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-ethnic/onebigfile.html' target='_blank'>RINAP Glossary: Ethnic (Nabatu)</a>"
2025-07-19-(00-47-26),edited,1118,Sur Muhreh,"Sur Muhreh, Sur Mureh, Sur Muhra, Sūr Muhra, Sūr Murʾeh, Sūr Murʿeh",1,34.312917,42.261264,–,fortress,"Sūḫu, Iraq",–,"Bagg RGTC 7 2/1: 236, <i>Excavations in Iraq 1979-80</i>. Iraq 43/2 (1981): 197 and Map 2 (no. 3), <i>Excavations in Iraq 1981-82</i>. Iraq 45/2 (1983): 203 (Map 2), Morello (2010): <i>Fortificazioni di Frontiera di Epoca Neo-Assira</i>: 213, <a href='https://books.openedition.org/cdf/4487' target='_blank'>MTT I/3: Sur Mureh / Sūr Muhra (HIGEOMES Nr. 201)</a>"
2025-07-19-(00-47-26),edited,1119,Sūzu,"Sūzu, Sūru, Suru",–,–,–,"URU.su-ru (?), 𒌷𒋢𒊒 (?), URU.su-zu (?), 𒌷𒋢𒍪 (?)",town,"Central Assyria (?), Iraq (?)",–,Bagg RGTC 7 2/2: 457 (Sūru 3 (?))
2025-07-19-(00-47-26),edited,1137,Ḫašimur,"Ḫašimur, Hašimur, Jibāl Darāwishkah, Jabal Darawushka, Jibāl Darāwishkah, Silsilat Jibāl Dārah Wīshkah, Darewiškeh Mountains, جبال دراوشكه",–,34.27375,45.26632,"KUR.ḫa-ši-mur, 𒆳𒄩𒅆𒄯",mountain,"Ḫašmar, Iraq",–,"Bagg RGTC 7 2/1: 218–219, Parpola Toponyms: 155, <a href='https://www.geonames.org/97192/jibal-darawishkah.html' target='_blank'>Geonames: Jibāl Darāwishkah</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Hašimur)</a>"
2025-07-19-(00-47-26),edited,1140,Arsindu,"Arsindu, Arsiandu",–,–,–,"URU.ár-si-an-du, 𒌷𒌒𒋛𒀭𒁺, URU.ár-si-in-du, 𒌷𒌒𒋛𒅔𒁺","city, fortified city","Māzamua, Iran (?), Iraq (?)",–,"Bagg RGTC 7 3/1: 65, Parpola Toponyms: 33, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Arsiandu)</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Arsindu)</a>"
2025-07-19-(00-47-26),edited,1141,Nispi,"Nispi, Nišpi, Qandīl Dāġ, Silsilat Jibāl Qandīl, سلسلة جبال قنديل, Jabal Qandīl, جبل قنديل, Kūh-e Avromān (?), Jibāl Hawrāmān (?), Awroman (?), Azroman Dagh (?), Kūh-e Takht-e Ūrāmān (?), Kūh-e Owrāmān (?), Kūh-e Ūrāmān (?), جبال هورامان, کوه تخت اورامان",–,36.51709,45.01986,"KUR.ni-is-pi, 𒆳𒉌𒄑𒉿, KUR.ni-iš-pi, 𒆳𒉌𒅖𒉿, KUR.ni-ís-pi, 𒆳𒉌𒅖𒉿",mountains,"Māzamua, Iraq, Iran",–,"Bagg RGTC 7 3/1: 439, Parpola Toponyms: 269 (Nišpi), <a href='https://www.geonames.org/6779211/silsilat-jibal-qandil.html' target='_blank'>Geonames: Silsilat Jibāl Qandīl</a>, <a href='https://www.geonames.org/95878/silsilat-jibal-hawraman.html' target='_blank'>Geonames: Silsilat Jibāl Hawrāmān</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Nispi)</a>"
2025-07-19-(00-47-26),edited,1174,Parda,Parda,–,–,–,"URU.pa-ar-da, 𒌷𒉺𒅈𒁕","capital, city","Mannāja, Zikirtu, Iran",–,"Bagg RGTC 7 3/2: 449, Parpola Toponyms: 273, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Parda)</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Parda)</a>"
2025-07-19-(00-47-26),edited,1190,Elaniu,"Elaniu, Jabal Kūnah Gūrig, جبل كونة گورگ, Jabal Kūnākūrik, جبل كوناكورك, Kēw-ē Kunagurg",–,35.73075,45.91057,"KUR.e-la-ni-ú, 𒆳𒂊𒆷𒉌𒌑",mountain,"Māzamua, Iraq",–,"Bagg RGTC 7 3/1: 211–212, Parpola Toponyms: 123, Speiser (1926–1927): <i>Southern Kurdistan in the Annals of Ashurnasirpal and Today</i>. AASOR 8: 27 and map, <a href='https://www.geonames.org/445994/jabal-kunah-gurig.html' target='_blank'>Geonames: Jabal Kūnah Gūrig</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Elaniu)</a>"
2025-07-19-(00-47-26),edited,1191,Ediru,"Ediru, Edir, Rūdkhāneh-ye Qezeljeh Sū, رودخانه قزلجه سو, Nahr Qizljah Şū, نهر قزلجة صو, Chemî Qzłce, Čam-e Qizilja, Cham-i Qiz‘ua, Āv-e Sīval (?), Nahr Sīwayl (?), Āv-i-Sīwail (?), نهر سيويل, Cham Siwayl (?), چم سويل, Ṟûbarî Sîweyl (?), ڕووبارى سيوەيل, Āveh-ye Šalīr (?), Āveh-ye Shalīr (?), Āw-ē Shiler (?), آوه شلیر, Wādī Shilayr (?), وادي شلير, Ṟubarî Shlêr (?), Nahr Shalar (?), Nahr Shilayr (?)",–,–,–,"ÍD.e-di-ir, 𒀀𒇉𒂊𒁲𒅕, ÍD.e-di-ru, 𒀀𒇉𒂊𒁲𒊒",river,"Māzamua, Iraq, Iran",–,"Bagg RGTC 7 3/2: 749, Parpola Toponyms: 116 (Edir), Speiser (1926–1927): <i>Southern Kurdistan in the Annals of Ashurnasirpal and Today</i>. AASOR 8: 27 and map, <a href='https://www.geonames.org/3060/rudkhaneh-ye-qezeljeh-su.html' target='_blank'>Geonames: Rūdkhāneh-ye Qezeljeh Sū</a>, <a href='https://www.geonames.org/92203/cham-i-qiz-ua.html' target='_blank'>Geonames: Cham-i Qiz‘ua</a>, <a href='https://www.geonames.org/90654/nahr-siwayl.html' target='_blank'>Geonames: Nahr Sīwayl</a>, <a href='https://www.geonames.org/91137/aveh-ye-shalir.html' target='_blank'>Geonames: Āveh-ye Shalīr</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-waters/onebigfile.html' target='_blank'>RIAo Glossary: Waters (Edir)</a>"
2025-07-19-(00-47-26),edited,1192,Sarun,Sarun,–,–,–,"URU.sa-ru-un, 𒌷𒊓𒊒𒌦",town,"Assyria (?), Iraq (?)",–,"Bagg RGTC 7 2/2: 525–526, Parpola Toponyms: 306, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Sarun)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Sarun)</a>"
