"Sign","Name","Values","Values1","MesZL","ABZ/Labat","Codepoint","Values2","Values3","Path"
"𒀄","A × ḪA","A × ḪA (SAḪ7, SAḪA7, ZAḪ3, ZAḪA3)","A × ḪA (SAḪ<sub>7</sub>, SAḪA<sub>7</sub>, ZAḪ<sub>3</sub>, ZAḪA<sub>3</sub>)","846","584, 584, 587 (ŠL)","U+12004 (A TIMES HA)","A × ḪA (SAḪ7, SAḪA7, ZAḪ3, ZAḪA3)","A × HA (SAH7, SAHA7, ZAH3, ZAHA3)","584-ZAH3"
"𒀅","A × IGI","A × IGI (ER6, IR6, ISIŠ3, ŠEŠ3)","A × IGI (ER<sub>6</sub>, IR<sub>6</sub>, ISIŠ<sub>3</sub>, ŠEŠ<sub>3</sub>)","844","581","U+12005 (A TIMES IGI)","A × IGI (ER6, IR6, ISIŠ3, ŠEŠ3)","A × IGI (ER6, IR6, ISISH3, SHESH3)","581-IR6"
"𒀇","A × MUŠ","A × MUŠ (AMUŠ, AMUŠA)","A × MUŠ (AMUŠ <font color=""#579d1c"">AMUŠA </font> <font color=""#666666"">(ABZ; MesZL: AMUŠA missing)</font>)","842","580a","U+12007 (A TIMES MUSH)","A × MUŠ (AMUŠ, AMUŠA (ABZ; MesZL: AMUŠA missing))","A × MUSH (AMUSH, AMUSHA)","–"
"𒀈","A × SAG","A × SAG (ESAG)","A × SAG (ESAG)","841","585","U+12008 (A TIMES SAG)","A × SAG (ESAG)","A × SAG (ESAG)","585-ESAG"
"𒀀𒀀","A.A","A.A (AI, AIA, AIIA, AIIU, AIIE, AIII, AIE, AII, AIU, AJA, AJE, AJI, AJJA, AJJE, AJJI, AJJU, AJU, AYA, AYE, AYI, AYYA, AYYE, AYYI, AYYU, AYU, IJA, IJE, IJI, IJJA, IJJE, IJJI, IJJU, IJU, IYA, IYE, IYI, IYYA, IYYE, IYYI, IYYU, IYU)","A.A (AI, AIA, AIIA, AIIU, AIIE, AIII, AIE, AII, AIU, AJA, AJE, AJI,AJJA, AJJE, AJJI, AJJU, AJU, AYA, AYE, AYI, AYYA, AYYE, AYYI, AYYU, AYU, IJA, IJE, IJI, IJJA, IJJE, IJJI, IJJU, IJU, IYA, IYE, IYI, IYYA, IYYE, IYYI, IYYU, IYU)","839+839","579+579","U+12000 & U+12000 (A & A)","A.A (AI, AIA, AIIA, AIIU, AIIE, AIII, AIE, AII, AIU, AJA, AJE, AJI,AJJA, AJJE, AJJI, AJJU, AJU, AYA, AYE, AYI, AYYA, AYYE, AYYI, AYYU, AYU, IJA, IJE, IJI, IJJA, IJJE, IJJI, IJJU, IJU, IYA, IYE, IYI, IYYA, IYYE, IYYI, IYYU, IYU)","A.A (AI, AIA, AIIA, AIIU, AIIE, AIII, AIE, AII, AIU, AJA, AJE, AJI, AJJA, AJJE, AJJI, AJJU, AJU, AYA, AYE, AYI, AYYA, AYYE, AYYI, AYYU, AYU, IJA, IJE, IJI, IJJA, IJJE, IJJI, IJJU, IJU, IYA, IYE, IYI, IYYA, IYYE, IYYI, IYYU, IYU)","–"
"𒀀𒄠","A.AM","A.AM (ADAR, ILDAG2)","A.AM (ADAR, ILDAG<sub>2</sub></font> <font color=""#666666"">(MesZL: also AM × A (no. 310)</font>)","839+309","579+170","U+12000 & U+12120 (A & GUD TIMES KUR)","A.AM (ADAR, ILDAG2 (MesZL: also AM × A (no. 310)))","A.AM (ADAR, ILDAG2)","–"
"𒀀𒀭","A.AN","A.AN (A4, AM3, ŠE7, ŠEG3)","A.AN (A<sub>4</sub>, AM<sub>3</sub>, ŠE<sub>7</sub>, ŠEG<sub>3</sub>)","839+010","579+013","U+12000 & U+1202D (A & AN)","A.AN (A4, AM3, ŠE7, ŠEG3)","A.AN (A4, AM3, SHE7, SHEG3)","–"
"𒀀𒀭𒂷","A.AN.GA₂","A.AN.GA2 (BA4)","A.AN.GA<sub>2</sub> (BA<sub>4</sub></font> <font color=""#666666"">(MesZL: also GA<sub>2</sub> (387 and ZA.GA<sub>2</sub>.GA<sub>2</sub> (851+387+387)</font>)","839+010+387","579+013+233","U+12000 & U+1202D & U+120B7 (A & AN & GA2)","A.AN.GA2 (BA4 (MesZL: also GA2 (no. 387 and ZA.GA2.GA2 (no. 851+387+387)))","A.AN.GA2 (BA4)","–"
"𒀀𒁁","A.BAD","A.BAD (AGAM)","A.BAD (AGAM</font> <font color=""#666666"">(MesZL: also A × BAD (no. 840)</font>, Deimel AGAM<sub>2</sub>)</font>)","839+113","579+069","U+12000 &U+12041 (A & BAD)","A.BAD (AGAM (MesZL: also A × BAD (no. 840), Deimel AGAM2))","A.BAD (AGAM)","–"
"𒀀𒁺","A.DU","A.DU (A.RA2; TUŠE)","A.DU (A.RA<sub>2</sub>; TUŠE <font color=""#666666"">(MesZL: ?)</font>)","839+350","579+206","U+12000 & U+1207A (A & DU)","A.DU (TUŠE (MesZL: ?))","A.DU (A.RA2; TUSHE)","–"
"𒀀𒂔","A.EDIN","A.EDIN (ERU4, ERUA, ERUM4)","A.EDIN (ERU<sub>4</sub></font> <font color=""#666666"">(MesZL: better E<sub>4</sub>.RU<sub>6</sub>)</font> ERUA <font color=""#666666"">(MesZL: erschlossen)</font>, ERUM<sub>4</sub> <font color=""#666666"">(MesZL: Deimel ERUM<sub>3</sub>, perhaps to be erased)","839+300","579+168","U+12000 & U+12094 (A & EDIN)","A.EDIN (ERU4 (MesZL: better E4.RU6), ERUA (MesZL: erschlossen), ERUM4 (MesZL: Deimel ERUM3, perhaps to be erased))","A.EDIN (ERU4, ERUA, ERUM4)","–"
"𒀀𒂔𒇲","A.EDIN.LAL","A.EDIN.LAL (UMMU, UMMU3, UMMUD)","A.EDIN.LAL (<font color=""#c5000b"">UMMU</font> <font color=""#666666"">(Labat; MesZL: UMMU<sub>3</sub>, UMMU missing)</font> UMMU<sub>3</sub>, UMMUD)","839+300+750","579+168+481","U+12000 & U+12094 &U+121F2 (A & EDIN & LAL)","A.EDIN.LAL (UMMU (Labat; MesZL: UMMU3, UMMU missing), UMMU3, UMMUD)","A.EDIN.LAL (UMMU, UMMU3, UMMUD)","–"
"𒀀𒇉","A.ENGUR","A.ENGUR (A.LAGAB × ḪAL; I7, ID2, IT2, ITA5, ITI5, ITU5)","A.ENGUR (A.LAGAB × ḪAL; I<sub>7</sub>, ID<sub>2</sub>, IT<sub>2</sub></font> <font color=""#666666"">(MesZL: not occupable)</font>, ITA<sub>5</sub>, ITI<sub>5</sub>, ITU<sub>5</sub>)","839+756","579+484","U+12000 & U+121C9 (A & LAGAB TIMES HAL)","A.ENGUR (A.LAGAB × ḪAL; I7, ID2, IT2 (MesZL: not occupable), ITA5, ITI5, ITU5)","A.ENGUR (A.LAGAB × HAL; I7, ID2, IT2, ITA5, ITI5, ITU5)","–"
"𒀀𒇉𒀭𒁈","A.ENGUR.AN.BARA₂","A.ENGUR.AN.BARA2 (KUNIGARA)","A.ENGUR.AN.BARA<sub>2</sub> (<font color=""#c5000b"">KUNIGARA</font> <font color=""#666666"">(Labat; MesZL: KUNIGARA = AN.BARA<sub>2</sub> (nos. 10+554))</font>)","839+756+010+554","579+484+013+344","U+12000 & U+121C9 & U+1202D & U+12048 (A & LAGAB TIMES HAL & AN & BARA2)","A.ENGUR.AN.BARA2 (KUNIGARA (Labat; MesZL: KUNIGARA = AN.BARA2 (nos. 10+554)))","A.ENGUR.AN.BARA2 (KUNIGARA)","–"
"𒀀𒇉𒀭𒈲","A.ENGUR.AN.MUŠ","A.ENGUR.AN.MUŠ (KUNIGARA2)","A.ENGUR.AN.MUŠ (<font color=""#c5000b"">KUNIGARA<sub>2</sub></font> <font color=""#666666"">(Labat; MesZL: KUNIGARA<sub>2</sub> = AN.MUŠ (nos. 10+585)</font>)","839+756+010+585","579+484+013+374","U+12000 & U+121C9 & U+1202D & U+12232 (A & LAGAB TIMES HAL & AN & MUSH)","A.ENGUR.AN.MUŠ (KUNIGARA2 (Labat; MesZL: KUNIGARA2 = AN.MUŠ (nos. 10+585)))","A.ENGUR.AN.MUSH (KUNIGARA2)","–"
"𒀀𒇉𒀭𒈶","A.ENGUR.AN.RI₈","A.ENGUR.AN.RI8 (A.ENGUR.AN.MUŠ over MUŠ; KUNIGARA4)","A.ENGUR.AN.RI<sub>8</sub> (A.ENGUR.AN.MUŠ over MUŠ; KUNIGARA<sub>4</sub></font> <font color=""#666666"">(Labat: MesZL: MesZL: KUNIGARA<sub>4</sub> = AN.RI<sub>8</sub> (nos. 10+586)</font>)","839+756+010+586","579+484+013+374","U+12000 & U+121C9 & U+1202D & U+12236 (A & LAGAB TIMES HAL & AN & MUSH OVER MUSH)","A.ENGUR.AN.RI8 (A.ENGUR.AN.MUŠ over MUŠ; KUNIGARA4 (Labat: MesZL: MesZL: KUNIGARA4 = AN.RI8 (nos. 10+586)))","A.ENGUR.AN.RI8 (A.ENGUR.AN.MUSH over MUSH; KUNIGARA4)","–"
"𒀀𒇉𒀭𒌅","A.ENGUR.AN.TU","A.ENGUR.AN.TU (KUNIGARA3)","A.ENGUR.AN.TU (<font color=""#c5000b"">KUNIGARA<sub>3</sub></font> <font color=""#666666"">(Labat; MesZL: KUNIGARA<sub>3</sub> = AN.TU (nos. 10+86))</font>)","839+756+010+086","579+484+013+058","U+12000 & U+121C9 & U+1202D & U+12305 (A & LAGAB TIMES HAL & AN & TU)","A.ENGUR.AN.TU (KUNIGARA3 (Labat; MesZL: KUNIGARA3 = AN.TU (nos. 10+86)))","A.ENGUR.AN.TU (KUNIGARA3)","–"

